user_input,faithfulness,answer_relevancy,context_recall,context_precision
"What is the score and severity of the threat ""Patient Data Exfiltration""?",1.0,0.9999999999999997,1.0,0.9999999999
"What is the severity of the threat ""Physician Identity Spoofing""?",1.0,0.9988327783935632,1.0,0.9999999999
"How long is the regulatory deadline for substance reporting in the case of threat ""Controlled Substance Reporting Denial of Service""?",1.0,0.9850264448864112,1.0,0.9999999999
"What threats is the ""Patient"" external entity susceptible to?",1.0,0.9928873858688679,1.0,0.9999999999
"Which threats affect the ""Pharmacy Dispensing & Inventory Records"", and what are their risk levels?",1.0,0.936222641009436,1.0,0.9999999999
"What threats are assigned to the process ""Manage Clinical Records"", and what is the severity of each?",1.0,0.9859679806662655,1.0,0.9999999999
"Which mitigations address the threat ""Unauthorized Clinical Record Modification""?",1.0,0.9905978681899755,1.0,0.9999999999
"What mitigations are linked to ""Controlled Substance Dispensing Record Deletion"", and what are their descriptions?",1.0,0.9778286688022398,0.6666666666666666,0.9999999999
"Which single mitigation addresses ""Eligibility Process Elevation of Privilege""?",1.0,0.8422588455969907,1.0,0.9999999999
"Which mitigations address the threats affecting the process ""Dispense Medication""?",1.0,0.9895421705298029,1.0,0.9999999999
"Which mitigations address the threats affecting the data store ""Insurance Claims Repository""?",1.0,0.9880607196953411,1.0,0.9999999999
"What threats is the ""Electronic Health Records Database"" data store susceptible to across all cases?",1.0,0.9666634748958085,0.6,0.9999999999
"What process takes as input the data flow outputted by process ""Patient Registration Gateway"" and what is the name of the data flow?",1.0,0.9922646280632942,1.0,0.9999999999
"What processes take as input the data flows provided by data store ""Electronic Health Records Database""?",1.0,0.982273112545982,1.0,0.9999999999
"What data stores store data flows outputted by the process ""Dispense Medication""?",1.0,0.992381739547746,1.0,0.9999999999
"Which data flows cross the ""Hospital Perimeter Network"" trust boundary?",1.0,0.0,0.0,0.0
"Which data flows cross the ""Pharmacy Application Zone"" trust boundary?",1.0,0.0,0.0,0.0
"In which trust zone do process ""Receive & Validate Prescription"" and data store ""Insurance Claims Repository"" reside in?",1.0,0.0,0.5,0.9999999999
"Trace the path from ""Prescribing Physician"" to the data store ""Clinical Audit Trail"".",1.0,0.8171252684935051,1.0,0.9999999999
"Trace the path from ""Patient"" to the ""Insurance Claims Repository"" data store.",1.0,0.8119614754398767,0.6666666666666666,0.9999999999
"Trace the path from ""Referring Physician"" to the data store ""Electronic Health Records Database"".",0.4444444444444444,0.9532862762116798,1.0,0.9999999999
