user_input,faithfulness,answer_relevancy,context_recall,context_precision
"What is the risk level of ""Carrier Identity Spoofing""?",1.0,1.0,1.0,0.9999999999
"What is the protocol used by ""Receipt Delivery""?",1.0,0.7399502855867771,1.0,0.9999999999
"What is the protocol used by ""Customer Profile Lookup""?",1.0,0.9938593772239208,1.0,0.9999999999
"What is the cost of ""Immutable Append-Only Log Storage""?",1.0,0.9999999999999998,1.0,0.9999999999
"What is the implementation status of ""Return Eligibility Verification Engine""?",1.0,0.0,1.0,0.9999999999
"Which data flows are inputs to ""Screen for Fraud""?",1.0,0.9882233282232017,1.0,0.9999999999
"Which data store receives ""Refund Execution Audit Entry""?",0.0,0.8382041361999742,1.0,0.9999999999
"Which is the following task after ""Ship Order""?",1.0,0.9816986692666773,1.0,0.9999999999
"Which is the following task after ""Display Return Policy""?",1.0,0.9779879012304216,1.0,0.9999999999
"Which are the possible mitigations for threat ""Payment Data Tampering in Transit""?",1.0,0.9956614965337381,1.0,0.9999999999
"What threats are linked to ""Generate Delivery Milestone""?",0.6666666666666666,0.9929699953956166,1.0,0.9999999999
"What categories are the mitigations which can counter threat named ""Sensitive Data Leakage in Receipts""?",1.0,0.9647644752631671,1.0,0.9999999999
"Which trust boundaries are crossed by the data flows that are input to ""Execute Refund""?",1.0,0.9677921491423466,1.0,0.9999999999
"What trust zone does the data store that stores ""Payment Record Storage"" reside in?",1.0,0.9266625411237737,1.0,0.9999999999
"What mitigations are implemented to data store ""Fraud Rules Repository""?",1.0,0.972688055973025,1.0,0.9999999999
"What threats impact the data flows which are outputted by the process ""Execute Payment Transaction""?",1.0,0.9632996432046483,1.0,0.9999999999
"What threats impact the data flows which cross the trust boundary named ""Internal Order Management Zone (1)""?",1.0,0.9750159690934126,1.0,0.9999999999
"What mitigations are implemented for the processes residing in trust zone named ""Internal Network Boundary (2)""?",0.5,0.9811368687495203,1.0,0.9999999999
"What mitigations secure the data flows stored by the data store ""Customer Database""?",0.5,0.9543835959870354,0.0,0.9999999999
"What threats impact the external entity which sends the data flow named ""Carrier Tracking Update""?",0.6666666666666666,0.99371112843604,0.0,0.0
"What categories are the threats impacting the data flows which are outputs of the process ""Publish Approved Review""?",0.5,0.9729156180627367,1.0,0.9999999999
"What categories are the mitigations which can counter the threats affecting data store ""Audit Log""?",1.0,0.9623357841573146,0.0,0.9999999999
"What categories are the mitigations which can counter the threats affecting data store ""Order and Shipment Database""?",0.5,0.9775770769951325,1.0,0.9999999999
"What threats impact the process which outputs the data flow which is stored by data store ""Inventory Database""?",0.6666666666666666,0.8988735870960199,0.0,0.0
"What mitigations are used for the process which outputs the data flow that is taken as input by process ""Assess Return Eligibility""?",1.0,0.0,0.0,0.9999999999
"What are the external entities from the ""Process Payment"" BPMN Sub-Process?",1.0,0.858049080532718,1.0,0.9999999999
"What are the data stores from the ""Manage Customer Profile"" BPMN Sub-Process?",0.0,0.7550470096125421,0.0,0.9999999999
"What threats affect the processes from the DFD decomposition of ""Process Tracking Update & Notify Customer"" BPMN Sub-Process?",1.0,0.0,0.0,0.0
"What are the threats and risk levels of threats affecting processes from the DFD decomposition of ""Submit and Moderate Review"" BPMN Sub-Process?",1.0,0.0,0.0,0.0
