user_input,faithfulness,answer_relevancy,context_recall,context_precision
"What is the score and severity of the threat ""Patient Data Exfiltration""?",1,1,1,1
"What is the severity of the threat ""Physician Identity Spoofing""?",1,0.998832778,1,1
"How long is the regulatory deadline for substance reporting in the case of threat ""Controlled Substance Reporting Denial of Service""?",1,0.986639994,1,1
"What threats is the ""Patient"" external entity susceptible to?",1,0.998725676,1,1
"Which threats affect the ""Pharmacy Dispensing & Inventory Records"", and what are their risk levels?",1,0.982133442,1,1
"What threats are assigned to the process ""Manage Clinical Records"", and what is the severity of each?",1,0.985967981,1,1
"Which mitigations address the threat ""Unauthorized Clinical Record Modification""?",1,0.992308756,1,1
"What mitigations are linked to ""Controlled Substance Dispensing Record Deletion"", and what are their descriptions?",1,0.977840139,1,1
"Which single mitigation addresses ""Eligibility Process Elevation of Privilege""?",0.5,0.771182897,1,1
"Which mitigations address the threats affecting the process ""Dispense Medication""?",1,0.995397952,1,1
"Which mitigations address the threats affecting the data store ""Insurance Claims Repository""?",1,0.856994894,1,1
"What threats is the ""Electronic Health Records Database"" data store susceptible to across all cases?",1,0.966665084,1,1
"What process takes as input the data flow outputted by process ""Patient Registration Gateway"" and what is the name of the data flow?",1,0.867031913,1,1
"What processes take as input the data flows provided by data store ""Electronic Health Records Database""?",1,0.963595396,1,1
"What data stores store data flows outputted by the process ""Dispense Medication""?",1,0.933992586,1,1
"Which data flows cross the ""Hospital Perimeter Network"" trust boundary?",1,0.995138622,1,1
"Which data flows cross the ""Pharmacy Application Zone"" trust boundary?",1,0.996483856,1,1
"In which trust zone do process ""Receive & Validate Prescription"" and data store ""Insurance Claims Repository"" reside in?",1,0.933783916,1,1
"Trace the path from ""Prescribing Physician"" to the data store ""Clinical Audit Trail"".",1,0.79825832,1,1
"Trace the path from ""Patient"" to the ""Insurance Claims Repository"" data store.",1,0.813509549,0.666666667,1
"Trace the path from ""Referring Physician"" to the data store ""Electronic Health Records Database"".",0.833333333,0.825703685,1,1
