user_input,faithfulness,answer_relevancy,context_recall,context_precision
"What is the risk level of ""Carrier Identity Spoofing""?",1.0,0.0,1.0,0.9999999999
"What is the protocol used by ""Receipt Delivery""?",1.0,0.9924641812552012,1.0,0.9999999999
"What is the protocol used by ""Customer Profile Lookup""?",1.0,0.9938593772239208,1.0,0.9999999999
"What is the cost of ""Immutable Append-Only Log Storage""?",1.0,0.9988035384656923,1.0,0.9999999999
"What is the implementation status of ""Return Eligibility Verification Engine""?",1.0,0.0,1.0,0.9999999999
"Which data flows are inputs to ""Screen for Fraud""?",0.0,0.0,0.0,0.0
"Which data store receives ""Refund Execution Audit Entry""?",1.0,0.8357815047793049,1.0,0.9999999999
"Which is the following task after ""Ship Order""?",1.0,0.9817114364163975,1.0,0.9999999999
"Which is the following task after ""Display Return Policy""?",1.0,0.9779879012304216,1.0,0.9999999999
"Which are the possible mitigations for threat ""Payment Data Tampering in Transit""?",0.6666666666666666,0.9956714079051573,1.0,0.9999999999
"What threats are linked to ""Generate Delivery Milestone""?",1.0,0.9929571731908347,1.0,0.9999999999
"What categories are the mitigations which can counter threat named ""Sensitive Data Leakage in Receipts""?",1.0,0.9514667612345459,0.0,0.0
"Which trust boundaries are crossed by the data flows that are input to ""Execute Refund""?",1.0,0.9639769245542275,1.0,0.9999999999
"What trust zone does the data store that stores ""Payment Record Storage"" reside in?",1.0,0.9266625411237737,1.0,0.9999999999
"What mitigations are implemented to data store ""Fraud Rules Repository""?",1.0,0.7948640813886247,1.0,0.9999999999
"What threats impact the data flows which are outputted by the process ""Execute Payment Transaction""?",1.0,0.9603972287005398,0.0,0.9999999999
"What threats impact the data flows which cross the trust boundary named ""Internal Order Management Zone (1)""?",0.0,0.0,0.0,0.0
"What mitigations are implemented for the processes residing in trust zone named ""Internal Network Boundary (2)""?",1.0,0.0,0.0,0.0
"What mitigations secure the data flows stored by the data store ""Customer Database""?",1.0,0.9794437582205244,1.0,0.9999999999
"What threats impact the external entity which sends the data flow named ""Carrier Tracking Update""?",1.0,0.9552982514707061,1.0,0.9999999999
"What categories are the threats impacting the data flows which are outputs of the process ""Publish Approved Review""?",0.0,0.0,1.0,0.9999999999
"What categories are the mitigations which can counter the threats affecting data store ""Audit Log""?",0.5,0.9797344563297097,1.0,0.9999999999
"What categories are the mitigations which can counter the threats affecting data store ""Order and Shipment Database""?",1.0,0.9547144393778005,1.0,0.9999999999
"What threats impact the process which outputs the data flow which is stored by data store ""Inventory Database""?",1.0,0.9879985848352398,0.0,0.9999999999
"What mitigations are used for the process which outputs the data flow that is taken as input by process ""Assess Return Eligibility""?",0.8,0.0,1.0,0.9999999999
"What are the external entities from the ""Process Payment"" BPMN Sub-Process?",0.0,0.0,0.0,0.0
"What are the data stores from the ""Manage Customer Profile"" BPMN Sub-Process?",0.8,0.9697602970729758,0.0,0.0
"What threats affect the processes from the DFD decomposition of ""Process Tracking Update & Notify Customer"" BPMN Sub-Process?",0.0,0.0,0.0,0.0
"What are the threats and risk levels of threats affecting processes from the DFD decomposition of ""Submit and Moderate Review"" BPMN Sub-Process?",1.0,0.971774655442242,0.14285714285714285,0.9999999999
"What are the trust zones from the DFD Decomposition of ""Process Return & Issue Refund"" BPMN Sub-Process?",1.0,0.8948374143653817,0.0,0.9999999999
"What threats affect the ""Screen for Fraud"" process?",1.0,0.9917691118256142,1.0,0.9999999999
"What are the threats affecting the ""Execute Payment Transaction"" process?",1.0,0.9989570882413275,1.0,0.9999999999
"What are the threats affecting the ""Session Store"" data store?",1.0,0.998893527340662,1.0,0.9999999999
"What are the threats affecting the ""Content Moderation Service (ModerateAI)"" external entity?",1.0,0.9939061259219032,1.0,0.9999999999
"What are the threats affecting the ""Order and Shipment Database"" data store?",1.0,0.998892473924953,1.0,0.9999999999
"Which threats can ""Immutable Append-Only Log Storage"" mitigate?",0.8333333333333334,0.9587333821858326,0.5555555555555556,0.9999999999
"Which mitigations are defined for ""Transaction Repudiation""?",1.0,0.9805308341101431,1.0,0.9999999999
"Which mitigations are defined for ""Refund Amount Escalation""?",1.0,0.9854452834698296,1.0,0.9999999999
"Which threats does ""Carrier API Key Authentication and IP Allowlisting"" mitigate?",0.5,0.9728139346788717,1.0,0.9999999999
